stimulus,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.clicked_image,mouse.started,mouse.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
stimuli copy/marek-mucha-PfmNfCXcrdw-unsplash.jpeg,0,0,0,22,15.918114125030115,None,29.0,28.0,1,0,0,0.7457164579536766,image,stimuli copy/marek-mucha-PfmNfCXcrdw-unsplash.jpeg,0.0038157154340296984,None,16.66165808402002,None,j,001,2022_Apr_19_1238,9.60trial3,2021.2.3,59.95434448185203,
,,,,,18.46874124999158,None,-4.0,-21.0,1,0,0,0.756080708000809,image,stimuli copy/dave-hoefler-oi65oz2xNag-unsplash.jpeg,0.016169749666005373,None,,,,,,,,,
