stimulus,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.clicked_image,mouse.started,mouse.stopped,participant,session,date,expName,psychopyVersion,frameRate,
stimuli copy/mwangi-gatheca-hvvNY6b8pE0-unsplash.jpeg,0,0,0,26,15.93473720899783,None,93.0,152.0,1,0,0,1.4402480421122164,image,stimuli copy/mwangi-gatheca-hvvNY6b8pE0-unsplash.jpeg,0.011760542402043939,None,19,001,2022_Apr_19_1212,9.60trial3,2021.2.3,None,
stimuli copy/alexandre-chambon-ADqQgiStp4c-unsplash.jpeg,0,1,1,1,17.635386999929324,None,171.0,166.0,1,0,0,1.5609128340147436,image,stimuli copy/alexandre-chambon-ADqQgiStp4c-unsplash.jpeg,0.011177499545738101,None,19,001,2022_Apr_19_1212,9.60trial3,2021.2.3,None,
stimuli copy/natalya-letunova-eCfCIwtKdsg-unsplash.jpeg,0,2,2,27,19.645020166877657,None,102.0,182.0,1,0,0,1.2548384580295533,image,stimuli copy/natalya-letunova-eCfCIwtKdsg-unsplash.jpeg,0.0011871249880641699,None,19,001,2022_Apr_19_1212,9.60trial3,2021.2.3,None,
stimuli copy/jared-rice-WbOn78k-ywU-unsplash.jpeg,0,3,3,17,21.40376879204996,None,111.0,73.0,1,0,0,1.2361005421262234,image,stimuli copy/jared-rice-WbOn78k-ywU-unsplash.jpeg,0.008773958776146173,None,19,001,2022_Apr_19_1212,9.60trial3,2021.2.3,None,
stimuli copy/eberhard-grossgasteiger-fTlXjG24mQ0-unsplash.jpeg,0,4,4,12,22.95224400004372,None,92.0,75.0,1,0,0,1.9105247089173645,image,stimuli copy/eberhard-grossgasteiger-fTlXjG24mQ0-unsplash.jpeg,0.00122870784252882,None,19,001,2022_Apr_19_1212,9.60trial3,2021.2.3,None,
stimuli copy/dave-hoefler-oi65oz2xNag-unsplash.jpeg,0,5,5,9,25.19694520905614,None,109.0,103.0,1,0,0,1.776411124970764,image,stimuli copy/dave-hoefler-oi65oz2xNag-unsplash.jpeg,0.01477983221411705,None,19,001,2022_Apr_19_1212,9.60trial3,2021.2.3,None,
stimuli copy/long-truong-vRepMA0VQ54-unsplash.jpeg,0,6,6,20,27.24816329195164,None,113.0,112.0,1,0,0,0.9796414577867836,image,stimuli copy/long-truong-vRepMA0VQ54-unsplash.jpeg,0.004492332460358739,None,19,001,2022_Apr_19_1212,9.60trial3,2021.2.3,None,
stimuli copy/anthony-intraversato-xr43RescWSA-unsplash.jpeg,0,7,7,2,28.51024549989961,None,156.0,129.0,1,0,0,1.2131503748241812,image,stimuli copy/anthony-intraversato-xr43RescWSA-unsplash.jpeg,0.016593582928180695,None,19,001,2022_Apr_19_1212,9.60trial3,2021.2.3,None,
stimuli copy/marek-mucha-PfmNfCXcrdw-unsplash.jpeg,0,8,8,22,30.014443791937083,None,143.0,134.0,1,0,0,1.1527408328838646,image,stimuli copy/marek-mucha-PfmNfCXcrdw-unsplash.jpeg,0.007921916898339987,None,19,001,2022_Apr_19_1212,9.60trial3,2021.2.3,None,
