stimulus,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.clicked_image,mouse.started,mouse.stopped,participant,session,date,expName,psychopyVersion,frameRate,
stimuli copy/samuel-clara-HkZVyO9l_Ig-unsplash.jpeg,0,0,0,30,14.031666958006099,None,103.0,101.0,1,0,0,1.6418600829783827,image,stimuli copy/samuel-clara-HkZVyO9l_Ig-unsplash.jpeg,0.008328624069690704,None,0,001,2022_Apr_19_1203,9.60trial3,2021.2.3,None,
stimuli copy/long-truong-vRepMA0VQ54-unsplash.jpeg,0,1,1,20,15.918319083051756,None,1.0,-2.0,1,0,0,1.0459726247936487,image,stimuli copy/long-truong-vRepMA0VQ54-unsplash.jpeg,0.010192875051870942,None,0,001,2022_Apr_19_1203,9.60trial3,2021.2.3,None,
stimuli copy/gritt-zheng-K88BVN6yMrU-unsplash.jpeg,0,2,2,13,17.390483499970287,None,153.0,-82.0,1,0,0,0.8627460841089487,image,stimuli copy/gritt-zheng-K88BVN6yMrU-unsplash.jpeg,0.0071676671504974365,None,0,001,2022_Apr_19_1203,9.60trial3,2021.2.3,None,
stimuli copy/jack-b-JYZYRF0j_Uc-unsplash.jpeg,0,3,3,14,18.687765625072643,None,1.0,21.0,1,0,0,1.2000555419363081,image,stimuli copy/jack-b-JYZYRF0j_Uc-unsplash.jpeg,0.016287666046991944,None,0,001,2022_Apr_19_1203,9.60trial3,2021.2.3,None,
stimuli copy/ryan-wu-9R5FnAn5tYM-unsplash.jpeg,0,4,4,29,20.035277042072266,None,-160.0,-86.0,1,0,0,1.0161187921185046,image,stimuli copy/ryan-wu-9R5FnAn5tYM-unsplash.jpeg,0.00013529136776924133,None,0,001,2022_Apr_19_1203,9.60trial3,2021.2.3,None,
