stimulus,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.clicked_image,mouse.started,mouse.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
stimuli copy/jake-remy-QBAMncfwXr8-unsplash.jpeg,0,0,0,15,15.136679833056405,None,2.0,10.0,1,0,0,1.0649966669734567,image,stimuli copy/jake-remy-QBAMncfwXr8-unsplash.jpeg,0.007397916633635759,None,16.16587712499313,None,8,001,2022_Apr_19_1216,9.60trial3,2021.2.3,None,
stimuli copy/daniela-cuevas-t7YycgAoVSw-unsplash.jpeg,0,1,1,7,18.487582333153114,None,58.0,25.0,1,0,0,1.2217726670205593,image,stimuli copy/daniela-cuevas-t7YycgAoVSw-unsplash.jpeg,0.0014265002682805061,None,19.712969542015344,None,8,001,2022_Apr_19_1216,9.60trial3,2021.2.3,None,
stimuli copy/jordan-graff-87111nn8z_w-unsplash.jpeg,0,2,2,18,21.918848500121385,None,2.0,50.0,1,0,0,1.3729572920128703,image,stimuli copy/jordan-graff-87111nn8z_w-unsplash.jpeg,0.0019474164582788944,None,23.295989375095814,None,8,001,2022_Apr_19_1216,9.60trial3,2021.2.3,None,
stimuli copy/jack-b-JYZYRF0j_Uc-unsplash.jpeg,0,3,3,14,25.808245375053957,None,-1.0,8.0,1,0,0,1.3075214999262244,image,stimuli copy/jack-b-JYZYRF0j_Uc-unsplash.jpeg,0.0032210007775574923,None,27.11076349997893,None,8,001,2022_Apr_19_1216,9.60trial3,2021.2.3,None,
stimuli copy/arjun-kapoor-Om3JbZp3CCo-unsplash.jpeg,0,4,4,3,29.390274625038728,None,58.0,-36.0,1,0,0,1.2512797499075532,image,stimuli copy/arjun-kapoor-Om3JbZp3CCo-unsplash.jpeg,0.014746499946340919,None,30.64457408315502,None,8,001,2022_Apr_19_1216,9.60trial3,2021.2.3,None,
stimuli copy/alexandre-chambon-ADqQgiStp4c-unsplash.jpeg,0,5,5,1,32.89613166707568,None,-13.0,60.0,1,0,0,1.3241519581060857,image,stimuli copy/alexandre-chambon-ADqQgiStp4c-unsplash.jpeg,0.008610958699136972,None,34.22099795821123,None,8,001,2022_Apr_19_1216,9.60trial3,2021.2.3,None,
stimuli copy/darya-sev-QRdX9dO8poY-unsplash.jpeg,0,6,6,8,36.36797208315693,None,-51.0,23.0,1,0,0,1.2926775419618934,image,stimuli copy/darya-sev-QRdX9dO8poY-unsplash.jpeg,0.010406083660200238,None,37.66508691711351,None,8,001,2022_Apr_19_1216,9.60trial3,2021.2.3,None,
,,,,,40.06488608312793,None,38.0,59.0,1,0,0,1.403669541934505,image,stimuli copy/samuel-clara-HkZVyO9l_Ig-unsplash.jpeg,0.009691623505204916,None,,,,,,,,,
