stimulus,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.clicked_image,mouse.started,mouse.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
stimuli copy/long-truong-vRepMA0VQ54-unsplash.jpeg,0,0,0,20,13.86274008313194,None,1.0,5.0,1,0,0,1.5044783339835703,image,stimuli copy/long-truong-vRepMA0VQ54-unsplash.jpeg,0.010609582532197237,None,15.349117957986891,None,0,001,2022_Apr_20_1353,9.60trial3,2021.2.3,None,
stimuli copy/library-of-congress-VFTxZaIsDAs-unsplash.jpeg,0,1,1,19,17.232805541018024,None,158.0,-17.0,1,0,0,1.0165542499162257,image,stimuli copy/library-of-congress-VFTxZaIsDAs-unsplash.jpeg,0.01129658380523324,None,18.2496694161091,None,0,001,2022_Apr_20_1353,9.60trial3,2021.2.3,None,
stimuli copy/drew-farwell-ScLYGfuCqQg-unsplash.jpeg,0,2,2,11,19.8578840829432,None,-432.0,-68.0,1,0,0,1.1800327091477811,image,stimuli copy/drew-farwell-ScLYGfuCqQg-unsplash.jpeg,0.0003439586143940687,None,22.22965950006619,None,0,001,2022_Apr_20_1353,9.60trial3,2021.2.3,None,
,,,,,23.946806291118264,None,12.0,-33.0,1,0,0,1.4668187079951167,image,stimuli copy/arjun-kapoor-Om3JbZp3CCo-unsplash.jpeg,0.006948708323761821,None,,,,,,,,,
