stimulus,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.clicked_image,mouse.started,mouse.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
stimuli copy/dave-hoefler-oi65oz2xNag-unsplash.jpeg,0,0,0,9,18.292054624995217,None,-1.0,-20.0,1,0,0,0.8398476250004023,image,stimuli copy/dave-hoefler-oi65oz2xNag-unsplash.jpeg,0.0014320418704301119,None,19.115153667051345,None,try_again,001,2022_Apr_19_1424,9.60trial3,2021.2.3,None,
stimuli copy/jordan-graff-87111nn8z_w-unsplash.jpeg,0,1,1,18,20.803423000033945,None,5.0,36.0,1,0,0,0.700706500094384,image,stimuli copy/jordan-graff-87111nn8z_w-unsplash.jpeg,0.005871583940461278,None,21.50345170800574,None,try_again,001,2022_Apr_19_1424,9.60trial3,2021.2.3,None,
stimuli copy/mae-mu-KXq1wGn_OXI-unsplash.jpeg,0,2,2,21,23.164794333046302,None,-202.0,170.0,1,0,0,1.111829999834299,image,stimuli copy/mae-mu-KXq1wGn_OXI-unsplash.jpeg,0.003610665677115321,None,24.279082250082865,None,try_again,001,2022_Apr_19_1424,9.60trial3,2021.2.3,None,
stimuli copy/natalya-letunova-eCfCIwtKdsg-unsplash.jpeg,0,3,3,27,26.24296654202044,None,-30.0,153.0,1,0,0,0.936692374991253,image,stimuli copy/natalya-letunova-eCfCIwtKdsg-unsplash.jpeg,0.0009419578127563,None,27.174992042127997,None,try_again,001,2022_Apr_19_1424,9.60trial3,2021.2.3,None,
stimuli copy/jared-rice-WbOn78k-ywU-unsplash.jpeg,0,4,4,17,29.08103454206139,None,3.0,-93.0,1,0,0,0.8335770419798791,image,stimuli copy/jared-rice-WbOn78k-ywU-unsplash.jpeg,0.006930667674168944,None,29.91222312510945,None,try_again,001,2022_Apr_19_1424,9.60trial3,2021.2.3,None,
