stimulus,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.clicked_image,mouse.started,mouse.stopped,participant,session,date,expName,psychopyVersion,frameRate,
stimuli copy/jake-remy-QBAMncfwXr8-unsplash.jpeg,0,0,0,15,14.332608750090003,None,20.0,63.0,1,0,0,1.0896334589924663,image,stimuli copy/jake-remy-QBAMncfwXr8-unsplash.jpeg,0.003913666121661663,None,0,001,2022_Apr_19_1207,9.60trial3,2021.2.3,None,
stimuli copy/marek-mucha-PfmNfCXcrdw-unsplash.jpeg,0,1,1,22,15.718844667077065,None,143.0,100.0,1,0,0,0.7398062499705702,image,stimuli copy/marek-mucha-PfmNfCXcrdw-unsplash.jpeg,0.010641541564837098,None,0,001,2022_Apr_19_1207,9.60trial3,2021.2.3,None,
stimuli copy/gritt-zheng-K88BVN6yMrU-unsplash.jpeg,0,2,2,13,16.924433959182352,None,358.0,-166.0,1,0,0,0.8206107090227306,image,stimuli copy/gritt-zheng-K88BVN6yMrU-unsplash.jpeg,0.010489291278645396,None,0,001,2022_Apr_19_1207,9.60trial3,2021.2.3,None,
stimuli copy/jack-b-JYZYRF0j_Uc-unsplash.jpeg,0,3,3,14,18.01367491716519,None,5.0,54.0,1,0,0,1.1270366250537336,image,stimuli copy/jack-b-JYZYRF0j_Uc-unsplash.jpeg,0.009261333616450429,None,0,001,2022_Apr_19_1207,9.60trial3,2021.2.3,None,
stimuli copy/jordan-graff-87111nn8z_w-unsplash.jpeg,0,4,4,18,19.329716250067577,None,5.0,54.0,1,0,0,2.8917449999134988,image,stimuli copy/jordan-graff-87111nn8z_w-unsplash.jpeg,0.00960949994623661,None,0,001,2022_Apr_19_1207,9.60trial3,2021.2.3,None,
