stimulus,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.clicked_image,mouse.started,mouse.stopped,participant,session,date,expName,psychopyVersion,frameRate,
stimuli copy/marek-mucha-PfmNfCXcrdw-unsplash.jpeg,0,0,0,22,13.366508000064641,None,0.03,0.021111111111111112,1,0,0,1.2135899579152465,image,stimuli copy/marek-mucha-PfmNfCXcrdw-unsplash.jpeg,0.002675125142559409,None,0,001,2022_Apr_19_1202,9.60trial3,2021.2.3,None,
stimuli copy/jordan-graff-87111nn8z_w-unsplash.jpeg,0,1,1,18,14.741403416963294,None,0.0,0.02666666666666667,1,0,0,0.9209185829386115,image,stimuli copy/jordan-graff-87111nn8z_w-unsplash.jpeg,0.003878208575770259,None,0,001,2022_Apr_19_1202,9.60trial3,2021.2.3,None,
stimuli copy/alexandre-chambon-ADqQgiStp4c-unsplash.jpeg,0,2,2,1,15.927463917061687,None,0.01888888888888889,0.04555555555555556,1,0,0,1.598013374954462,image,stimuli copy/alexandre-chambon-ADqQgiStp4c-unsplash.jpeg,0.0029140834230929613,None,0,001,2022_Apr_19_1202,9.60trial3,2021.2.3,None,
stimuli copy/jared-rice-WbOn78k-ywU-unsplash.jpeg,0,3,3,17,17.850284958956763,None,0.0,-0.043333333333333335,1,0,0,1.4802207921165973,image,stimuli copy/jared-rice-WbOn78k-ywU-unsplash.jpeg,0.002494666026905179,None,0,001,2022_Apr_19_1202,9.60trial3,2021.2.3,None,
stimuli copy/michel-kimkongrath-EWpsHYyDL34-unsplash.jpeg,0,4,4,25,19.63971700007096,None,0.0,-0.014444444444444444,1,0,0,1.1003941250965,image,stimuli copy/michel-kimkongrath-EWpsHYyDL34-unsplash.jpeg,0.007143374532461166,None,0,001,2022_Apr_19_1202,9.60trial3,2021.2.3,None,
stimuli copy/mathew-schwartz-3z56aMRpjJ0-unsplash.jpeg,0,5,5,23,20.884866249980405,None,0.0033333333333333335,0.03888888888888889,1,0,0,1.6390216669533402,image,stimuli copy/mathew-schwartz-3z56aMRpjJ0-unsplash.jpeg,0.000686208950355649,None,0,001,2022_Apr_19_1202,9.60trial3,2021.2.3,None,
stimuli copy/darya-sev-QRdX9dO8poY-unsplash.jpeg,0,6,6,8,22.67125108395703,None,-0.03888888888888889,0.02,1,0,0,1.7502894999925047,image,stimuli copy/darya-sev-QRdX9dO8poY-unsplash.jpeg,0.015269375871866941,None,0,001,2022_Apr_19_1202,9.60trial3,2021.2.3,None,
