stimulus,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.clicked_image,mouse.started,mouse.stopped,participant,session,date,expName,psychopyVersion,frameRate,
stimuli copy/samuel-clara-HkZVyO9l_Ig-unsplash.jpeg,0,0,0,30,12.790244500036351,None,0.024444444444444446,0.011111111111111112,1,0,0,0.7290782500058413,image,stimuli copy/samuel-clara-HkZVyO9l_Ig-unsplash.jpeg,0.006444332888349891,None,9,001,2022_Apr_17_0456,9.60trial3,2021.2.3,None,
stimuli copy/aaron-burden-xNsoHwvoHnY-unsplash.jpeg,0,1,1,0,13.764022707939148,None,-0.03,0.0033333333333333335,1,0,0,0.6121667919214815,image,stimuli copy/aaron-burden-xNsoHwvoHnY-unsplash.jpeg,0.003559874719940126,None,9,001,2022_Apr_17_0456,9.60trial3,2021.2.3,None,
stimuli copy/diego-ph-xW42e724p00-unsplash.jpeg,0,2,2,10,14.669239124981686,None,-0.051111111111111114,-0.028888888888888888,1,0,0,0.8166609579930082,image,stimuli copy/diego-ph-xW42e724p00-unsplash.jpeg,0.005946208955720067,None,9,001,2022_Apr_17_0456,9.60trial3,2021.2.3,None,
